No.,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU(ft2),Fee,Year Created,Population,geo_Accuracy Score,geo_Zipcode
273,Saint Johns County,FL,Saint Johns County FL,29.9373902,-81.7008258,E,3000,6.5,1994,123135,1,32259
274,Saint Pete Beach,FL,Saint Pete Beach FL,27.7182578,-82.8391078,E,3813,3.69,,9391,0.5,
275,Saint Petersburg,FL,Saint Petersburg FL,27.7786988,-82.7949041,E,2719,11,1989,248232,1,33701
276,Sanford,FL,Sanford FL,28.7869883,-81.3097038,E,2126,7.63,1991,38291,1,32771
277,Sarasota County,FL,Sarasota County FL,27.1677329,-82.5210514,E,3153,7.55,1989,325957,1,
278,Satellite Beach,FL,Satellite Beach FL,28.177749,-80.6382443,E,3000,16.67,1997,10109,1,32937
279,Sebastian,FL,Sebastian FL,27.792114,-80.5152619,E,3285,10,2001,20339,1,32958
280,South Daytona,FL,South Daytona FL,29.1671041,-81.003713,E,2000,9,1989,13177,0.9,32121
281,South Miami,FL,South Miami FL,25.7117066,-80.2958815,E,1865,3,2000,10741,0.9,33143
282,Stuart,FL,Stuart FL,27.1987185,-80.2756563,E,3707,4.18,2000,14633,1,34994
283,Sunny Isles Beach,FL,Sunny Isles Beach FL,25.9391467,-80.1425267,E,1548,4,1999,15315,0.8,33160
284,Sunrise,FL,Sunrise FL,26.1479001,-80.3664893,E,1884,8.36,1997,85779,0.8,33313
285,Surfside,FL,Surfside FL,25.8794729,-80.1265691,E,1040,10.7,1998,4909,0.9,33154
286,Sweetwater,FL,Sweetwater FL,25.7791341,-80.38978,E,1548,4,2000,14226,0.8,33144
287,Tallahassee,FL,Tallahassee FL,30.4670647,-84.3969392,E,1990,8.35,1986,150624,1,32301
288,Tamarac,FL,Tamarac FL,26.204648,-80.3006404,E,1830,10.65,1993,55588,0.8,33309
289,Tampa,FL,Tampa FL,27.9947147,-82.5943644,E,3310,6.83,2003,303447,1,33601
290,Tarpon Springs,FL,Tarpon Springs FL,28.1462037,-82.8448678,E,1945,5.65,1992,21003,1,34688
291,Tavares,FL,Tavares FL,28.7869979,-81.8052422,E,3000,10,,14248,1,32778
292,Tequesta,FL,Tequesta FL,26.9608917,-80.1352785,E,2507,8.23,,5273,0.8,33469
293,Titusville,FL,Titusville FL,28.5727535,-80.8921323,R ,,7.49,1990,40670,1,32780
294,Treasure Island,FL,Treasure Island FL,27.7648685,-82.7717254,E,1513,12.14,1994,7450,0.9,33740
295,Umatilla,FL,Umatilla FL,28.933882,-81.6936759,E,3000,4,2008,2896,1,32784
296,Venice,FL,Venice FL,27.1149181,-82.4497429,R,,6.99,1995,17764,1,34285
297,Volusia County,FL,Volusia County FL,29.0228714,-81.4523533,E,2775,10.5,1992,443343,1,
298,West Melbourne,FL,West Melbourne FL,28.0696113,-80.7493755,E,2500,5.33,1992,9824,0.8,32901
299,West Miami,FL,West Miami FL,25.7558094,-80.3044918,E,1400,2.5,1996,5863,0.8,33144
300,West Palm Beach,FL,West Palm Beach FL,26.7420741,-80.1990798,E,2171,8.48,,82103,1,33401
301,West Park,FL,West Park FL,25.9841829,-80.2083675,E,1351,3.5,2012,14609,0.5,
302,Wilton Manors,FL,Wilton Manors FL,26.1586121,-80.1391665,E,3460,5.58,1992,12697,0.9,33334
303,Winter Garden,FL,Winter Garden FL,28.5461539,-81.6419195,E,4077,5.13,2006,14351,1,34778
304,Winter Haven,FL,Winter Haven FL,28.0077513,-81.7692198,F,,3.56,1998,26487,1,33880
305,Winter Park,FL,Winter Park FL,28.6939609,-81.3377034,E,2324,13.21,,24090,1,32789
306,Winter Springs,FL,Winter Springs FL,28.6939609,-81.3377034,E,2123,5.5,1992,31666,1,32708
307,Albany,GA,Albany GA,31.5729629,-84.2009484,E,2700,3,2014,77431,1,31701
308,Americus,GA,Americus GA,32.0771487,-84.2578414,E,3000,4,2010,17103,1,31709
309,Athens - Clarke County,GA,Athens - Clarke County GA,33.9441951,-83.5292055,E,2628,2.1,2004,101489,1,30601
310,Atlanta,GA,Atlanta GA,33.7678358,-84.4906437,-,,,,416474,1,30301
311,Auburn,GA,Auburn GA,34.0148691,-83.8629734,T,,,2011,6900,1,30011
312,Augusta,GA,Augusta GA,33.3857258,-82.3711058,E,2200,6.4,2015,197872,1,30901
313,Austell,GA,Austell GA,33.8186861,-84.6781258,E,3100,5,,5200,1,30106
314,Avondale Estates,GA,Avondale Estates GA,33.7687768,-84.2740025,E,2900,15,2004,2995,1,30002
315,Barrow County,GA,Barrow County GA,34.01112,-83.7732887,E ,3478,1.5,2008,46144,1,
316,Braselton,GA,Braselton GA,34.1124436,-83.8498484,E ,3478,1.5,,1206,1,30517
317,Brookhaven,GA ,Brookhaven GA ,33.8723669,-84.3635257,E ,3000,5,2013,52444,0.5,
318,Brunswick,GA,Brunswick GA,31.153505,-81.5355297,E ,2200,3.95,2018,16287,1,31520
319,Byron,GA,Byron GA,32.6452621,-83.7888419,E ,3850,3.5,2017,5188,1,31008
320,Camilla,GA,Camilla GA,31.2499496,-84.2432469,E ,3360,4,2010,5669,1,31730
321,Canton,GA,Canton GA,32.6627935,-85.4216056,E ,2000,2.65,,7709,1,30114
322,Cartersville,GA,Cartersville GA,34.1879876,-84.8621883,E ,3000,3.75,,15925,1,30120
323,Centerville,GA,Centerville GA,32.6386666,-83.7190772,E ,3900,4.25,2016,7148,1,31028
324,Chamblee,GA,Chamblee GA,33.8805037,-84.2976536,E ,3000,4,2004,9552,0.9,30341
325,Chickamaugua,GA,Chickamaugua GA,34.8760334,-85.3252753,,,,2009,3101,1,30707
326,Clarkston,GA,Clarkston GA,33.8105285,-84.2495042,E ,1500,5.33,2006,7554,1,30021
327,Clayton County,GA,Clayton County GA,33.5005916,-84.4914756,E ,2950,3.75,2006,236517,1,
328,College Park,GA,College Park GA,33.6367539,-84.4993769,E ,3523,3,2007,20382,0.8,30337
329,Columbia County,GA,Columbia County GA,33.5278469,-82.3756256,IA ,,5.33,1999,89288,1,
330,Conyers,GA,Conyers GA,33.6599763,-84.0544176,T ,,3.33,2002,10689,1,30012
331,Cornelia,GA,Cornelia GA,34.5201245,-83.5651018,E ,3300,4.5,,4513,1,30531
332,Covington,GA,Covington GA,33.6035642,-83.9207417,E ,2600,3,2005,13226,1,30014
333,Dahlonega,GA,Dahlonega GA,34.527836,-84.0179188,F ,,1.5,2020,6773,1,30533
334,Dalton,GA,Dalton GA,34.7599782,-85.0886514,F ,,2,2018,34077,1,30719
335,Decatur,GA,Decatur GA,33.7720487,-84.3144435,E ,2900,8.33,1999,18147,1,30030
336,DeKalb County,GA,DeKalb County GA,33.7865796,-84.303648,E ,3000,4,2003,665865,1,
337,Doraville,GA,Doraville GA,33.9063118,-84.2644921,E ,3000,4,2005,9862,0.9,30340
338,Douglasville-Douglas County,GA,Douglasville-Douglas County GA,33.7438079,-84.7275874,E ,2543,4,2003,92174,1,30134
339,Duluth,GA,Duluth GA,34.0001201,-84.2085052,E ,2654,3,2011,22122,1,30095
340,Dunwoody,GA,Dunwoody GA,33.943031,-84.3065274,E,3000,5.75,2009,46267,0.9,30338
341,East Point,GA,East Point GA,33.6654209,-84.4753184,E ,3200,9.15,,,0.9,30344
342,Evans,GA,Evans GA,33.5143748,-82.2118202,E ,100,0.09,,17727,1,30809
343,Fairburn,GA,Fairburn GA,33.4036378,-84.6445081,T ,,4.08,2005,5464,1,30213
344,Fayette County,GA,Fayette County GA,33.4036378,-84.6445081,E,1000,0.35,2011,107784,1,
345,Fayetteville,GA,Fayetteville GA,33.4520253,-84.5112505,E,3800,2.95,2004,11148,1,30214
346,Garden City,GA,Garden City GA,32.0870364,-81.2122483,E,3000,4.75,2008,11289,0.8,31405
347,Gilmer County,GA,Gilmer County GA,34.7022295,-84.5653728,V ,,,,23456,1,
348,Griffin,GA,Griffin GA,33.2429033,-84.3474006,E,2200,3.56,1997,23451,1,30223
349,Grovetown,GA,Grovetown GA,33.449502,-82.2420964,F,,4.95,2014,11216,1,30813
350,Gwinnett County,GA,Gwinnett County GA,33.960546,-84.1780464,E,100,6.97,2006,588448,1,
351,Hapeville,GA,Hapeville GA,33.660713,-84.4121925,E,2400,3.5,2016,6373,0.9,30354
352,Henry County,GA,Henry County GA,33.4727666,-84.2785335,E,4780,3.32,2006,119341,1,
353,Hinesville,GA,Hinesville GA,31.8282316,-81.6485884,E,2635,6.42,,30392,1,31310
354,Holly Springs,GA,Holly Springs GA,34.1626224,-84.520189,E,2700,4,2009,3195,1,30142
355,Kennesaw,GA,Kennesaw GA,34.026176,-84.6520628,D,,5,,30990,1,30144
356,Lawrenceville,GA,Lawrenceville GA,33.9513322,-84.0338824,D ,,4.2,2007,29258,1,30043
357,Lithonia,GA,Lithonia GA,33.712647,-84.1250412,,,,2005,1924,1,30038
358,Locust Grove,GA,Locust Grove GA,33.3415118,-84.1720786,E ,2768,,2008,2322,1,30248
359,Loganville,GA,Loganville GA,33.8343246,-83.9340814,E ,3000,4,,5435,1,30052
360,McDonough,GA,McDonough GA,33.4426498,-84.2192142,E ,3000,3.3,,8493,1,30252
361,Milledgeville,GA,Milledgeville GA,33.0928194,-83.3215896,E ,3400,3.95,2019,18933,1,31061
362,Norcross,GA,Norcross GA,33.9408479,-84.270072,IA ,,4.13,,8410,1,30071
363,Peachtree City,GA,Peachtree City GA,33.3879628,-84.6395711,E ,4600,3.95,,31580,1,30269
364,Peachtree Corners,GA,Peachtree Corners GA,33.9604395,-84.2902618,,,,2017,43509,0.5,31767
365,Perry,GA,Perry GA,32.4745669,-83.8428627,F,,2,2012,14215,1,31069
366,Pine Lake,GA,Pine Lake GA,33.7896316,-84.2153092,,,,,730,1,30072
367,Powder Springs,GA,Powder Springs GA,33.8650691,-84.7533786,E ,2840,3.79,2012,13940,1,30127
368,Richmond Hill,GA,Richmond Hill GA,31.9384703,-81.3716742,E ,3300,4.75,2015,10919,1,31324
369,Rockdale County,GA,Rockdale County GA,33.6558755,-84.1887696,E ,3420,8.5,2005,70111,1,
370,Roswell,GA,Roswell GA,34.0451059,-84.4102289,T ,,3.95,,79334,1,30075
371,Senoia,GA,Senoia GA,33.3145545,-84.5893592,E ,4400,5,2016,3751,1,30276
372,Smyrna,GA,Smyrna GA,33.8542626,-84.5858107,E ,3900,2.45,2007,40999,1,30080
373,Snellville,GA,Snellville GA,33.8554236,-84.0673886,E ,3800,3.1,2008,19983,1,30039
374,Statesboro,GA,Statesboro GA,32.4369515,-81.8047819,E ,3200,3.95,2015,30,1,30458
375,Stockbridge,GA,Stockbridge GA,33.5258436,-84.2609774,E ,2000,2.92,2004,9853,1,30281
376,Stone Mountain,GA,Stone Mountain GA,33.8023882,-84.190931,E ,3000,,,7145,1,30083
377,Sugar Hill,GA,Sugar Hill GA,34.1089292,-84.1270278,IA ,,4.5,2009,16725,0.8,30518
378,Union City,GA,Union City GA,33.5857291,-84.6291293,E,2800,4,2013,20501,1,30291
379,Valdosta,GA,Valdosta GA,30.8456432,-83.3532617,E ,3704,3.5,2006,43724,1,31601
380,Warner Robbins,GA,Warner Robbins GA,32.5933883,-83.8020507,E ,3000,4.25,2008,48804,1,31088
381,Woodstock,GA,Woodstock GA,34.1083106,-84.5786931,E ,2700,4.2,2006,10050,1,30188
382,Ackley,IA,Ackley IA,42.5502332,-93.0815193,F ,,3,,1665,1,50601
383,Adel,IA,Adel IA,41.6136771,-94.0580079,E,3000,3.4,,4563,1,50003
384,Alburnett,IA,Alburnett IA,42.1481551,-91.6303482,F,,1.5,2012,673,1,52202
385,Algona,IA,Algona IA,43.0725586,-94.3108484,T,,3,,5741,1,50511
386,Altoona,IA,Altoona IA,41.6402272,-93.5474915,E,4000,5,2010,10345,1,50009
387,Ames,IA,Ames IA,42.0258989,-93.6613958,T,,4.95,1994,50731,1,50010
388,Ankeny,IA,Ankeny IA,41.7144287,-93.6764075,E,4000,5.5,,45582,1,50015
389,Asbury ,IA ,Asbury  IA ,42.5111804,-90.8073431,F ,,4,,4357,0.5,
390,Atlantic ,IA,Atlantic  IA,41.3979672,-95.088768,E ,2000,2.85,,6937,1,50022
391,Aurelia ,IA,Aurelia  IA,42.7130695,-95.4532551,F ,,1,,1036,1,51005
392,Avoca ,IA,Avoca  IA,41.4875062,-95.3561,E ,,2.5,,1506,1,51521
393,Belle Plaine,IA,Belle Plaine IA,41.8892126,-92.3086083,F,,3.56,,2537,1,52208
394,Bellevue ,IA,Bellevue  IA,42.2628016,-90.447171,F ,,5,,2191,1,52031
395,Belmond,IA,Belmond IA,42.8469506,-93.6266001,F,,4,2009,2376,1,50421
396,Bettendorf,IA,Bettendorf IA,41.5651227,-90.5488184,E,2500,2.7,2003,32445,1,52722
397,Bondurant,IA,Bondurant IA,41.690285,-93.4902284,E,2450,3.25,2010,3860,1,50035
398,Boone,IA,Boone IA,42.0511436,-93.948656,E,3000,2,,12633,1,50036
399,Brooklyn ,IA,Brooklyn  IA,41.7347586,-92.461813,F ,,2,,1468,1,52211
400,Buffalo,IA,Buffalo IA,41.4712473,-90.797588,F,,1,,1270,1,52728
401,Burlington,IA,Burlington IA,40.8056227,-91.1992885,E,3360,2.58,,26839,1,52601
402,Carroll,IA,Carroll IA,42.0703461,-94.9029878,E,2500,3,,10103,1,51401
403,Cedar Falls,IA,Cedar Falls IA,42.5193269,-92.4901538,F,,3,2006,36145,1,50613
404,Cedar Rapids,IA,Cedar Rapids IA,41.9650539,-91.8027593,E,4356,6.82,,126326,1,52401
405,Centerville,IA,Centerville IA,40.7305042,-92.9019753,F,,3,2008,5513,1,52544
406,Charles City,IA,Charles City IA,43.0602471,-92.7079487,F,,5,2008,7812,1,50616
407,Cherokee,IA,Cherokee IA,42.7438256,-95.5894483,F,,3,2004,5369,1,51012
408,Clarinda,IA,Clarinda IA,40.7389302,-95.0690413,F,,2,2006,5690,1,51632
409,Clarion,IA,Clarion IA,42.7314706,-93.7524711,T,,,2011,2850,1,50525
410,Clear Lake,IA,Clear Lake IA,43.1333761,-93.4491294,D,,2.42,,8161,1,50428
411,Clive,IA,Clive IA,41.6200832,-93.8651199,E,3667,7.83,2005,15000,1,50325
412,Conrad,IA,Conrad IA,42.2226456,-92.892352,F,,4,2008,1108,1,50621
413,Coon Rapids,IA,Coon Rapids IA,41.8751847,-94.697174,T,,3.47,,1305,1,50058
414,Coralville,IA,Coralville IA,41.6948748,-91.6681089,E,3440,3,2005,18907,1,52241
415,Creston,IA,Creston IA,41.0605327,-94.4010002,V ,,,,7597,1,50801
416,Dallas Center ,IA,Dallas Center  IA,41.6837083,-94.0583064,F ,,4,,1623,1,50063
417,Davenport,IA,Davenport IA,41.541001,-90.7290618,E,2600,2.72,2004,98359,1,52801
418,Decorah,IA,Decorah IA,43.299994,-91.8380074,T,,3,2016,7957,1,52101
419,Deloit,IA,Deloit IA,42.0961076,-95.3252472,V ,,,,264,1,51441
420,Des Moines,IA,Des Moines IA,41.5665849,-93.7465983,E,2349,12.68,1995,206599,1,50301
421,DeWitt,IA,DeWitt IA,41.8243081,-90.5637846,T,,2.75,,5049,1,52742
422,Dubuque,IA,Dubuque IA,42.4844238,-90.870006,E,2917,6.81,2003,57686,1,52001
423,Elkhart,IA,Elkhart IA,41.7935923,-93.537282,D,,2.21,,691,1,50073
424,Ely,IA,Ely IA,41.8753132,-91.6023541,F ,,2,,1766,1,52227
425,Farnhamville,IA,Farnhamville IA,42.2763191,-94.4233335,V ,,,,420,1,50538
426,Forest City,IA,Forest City IA,43.2522266,-93.6713133,F,,5,,4362,1,50436
427,Fort Dodge,IA,Fort Dodge IA,42.5151761,-94.2412869,E,2533,3,2007,26309,1,50501
428,Fort Madison,IA,Fort Madison IA,40.6197429,-91.4885782,,,,2005,11051,1,52627
429,Garnavillo ,IA,Garnavillo  IA,42.866522,-91.2536745,T ,,,,745,1,52049
430,Garner,IA,Garner IA,43.0991897,-93.6199416,V ,,3.95,,2922,1,50438
431,Grimes,IA,Grimes IA,41.6716671,-93.8709307,A,,5.25,2012,8378,1,50111
432,Grinnell ,IA,Grinnell  IA,41.7294783,-92.7605301,E ,3250,3.26,,9218,1,50112
433,Grundy Center ,IA,Grundy Center  IA,42.3647797,-92.8106352,D ,,3,,2706,1,50638
434,Guttenberg,IA,Guttenberg IA,42.7902767,-91.1224766,F,,1.5,2010,1987,1,52052
435,Hancock,IA,Hancock IA,41.3909706,-95.3706778,V ,,,,207,1,51536
436,Hiawatha,IA,Hiawatha IA,42.0503432,-91.7224573,F,,1.5,2000,6694,1,52233
437,Hills,IA,Hills IA,41.5805541,-91.5677233,V ,,,,703,1,52235
438,Hillsboro,IA,Hillsboro IA,40.8373852,-91.7213182,V ,,,,205,1,52630
439,Independence,IA,Independence IA,42.4671564,-91.9801543,,,4,2021,5966,1,50644
440,Indianola,IA,Indianola IA,41.3669647,-93.6360415,E,3400,2,2011,12998,1,50125
441,Iowa City,IA,Iowa City IA,41.6470317,-91.6094029,D,,4.5,2004,67831,1,52240
442,Johnston,IA,Johnston IA,41.6919882,-93.7856245,E,4000,5.55,2012,17278,1,50131
443,Kalona,IA,Kalona IA,41.4858171,-91.7193581,F,,3,2010,2363,1,52247
444,Kelley,IA,Kelley IA,41.9504246,-93.6844811,T,,,,300,1,50134
445,Keokuk,IA,Keokuk IA,40.4095862,-91.4392518,E,,,2018,10343,1,52632
446,Lake City,IA,Lake City IA,42.2673226,-94.7687233,F,,1,2005,1727,1,51449
447,Lake Mills,IA,Lake Mills IA,43.4156686,-93.552885,T,,3,,2100,1,50450
448,Laurens ,IA,Laurens  IA,42.8476341,-94.8674401,T ,,3.25,,1258,1,50554
449,Le Mars,IA,Le Mars IA,42.7818152,-96.2518859,D,,7,2008,9826,1,51031
450,Madrid,IA,Madrid IA,41.8760576,-93.8400391,A,,3,,2539,1,50156
451,Mallard,IA,Mallard IA,42.9390166,-94.6910277,V ,,,,298,1,50562
452,Mapleton,IA,Mapleton IA,42.1704116,-95.807227,V ,,,,1224,1,51034
453,Marengo,IA,Marengo IA,41.7967811,-92.0759197,F,,1.5,,2535,1,52301
454,Marion,IA,Marion IA,42.0482372,-91.6520975,E,2791,3.5,,2011,1,52302
455,Marshalltown,IA,Marshalltown IA,42.0321217,-92.9818379,F,,2.16,,26009,1,50158
456,Mason City,IA,Mason City IA,43.1441425,-93.3365641,F,,1,,29172,1,50401
457,McGregor,IA,McGregor IA,43.0252536,-91.2019216,F,,8.5,,871,0.8,52157
458,Milford,IA,Milford IA,43.3335691,-95.1757623,F,,3,2012,2954,1,51351
459,Nevada,IA,Nevada IA,42.0175672,-93.544142,F ,,5.25,,6658,1,50201
460,North Liberty,IA,North Liberty IA,41.7455931,-91.6518205,F ,,2,,15000,1,52317
461,Norwalk,IA,Norwalk IA,41.4855797,-93.7579119,F,,7.5,,8821,1,50211
462,Odebolt,IA,Odebolt IA,42.3106326,-95.270123,F ,,1,2004,1153,1,51458
463,Ogden,IA,Ogden IA,42.0395067,-94.0473175,F ,,3,,2044,1,50212
464,Olin,IA,Olin IA,41.9976531,-91.1592017,F ,,1,,698,1,52320
465,Oskaloosa,IA,Oskaloosa IA,41.2900477,-92.703771,E ,2750,2,2007,10938,1,52577
466,Perry,IA,Perry IA,41.8431571,-94.1140901,F ,,3,2004,7633,1,50220
467,Pleasant Hill,IA,Pleasant Hill IA,41.5834924,-93.5219058,E ,3500,3,,9082,1,50327
468,Polk City,IA,Polk City IA,41.7746056,-93.7474147,E ,3976,3,2020,4625,1,50226
469,Postville,IA,Postville IA,43.0821271,-91.6034342,F ,,2.5,2007,2273,1,52162
470,Princeton,IA,Princeton IA,41.6755247,-90.3737351,,,,2015,886,1,52768
471,Reinbeck,IA,Reinbeck IA,42.3221412,-92.6171605,T ,,2,2008,1751,1,50669
472,Ringsted,IA,Ringsted IA,43.2949541,-94.5243805,V ,,,,422,1,50578
473,Rock Valley,IA,Rock Valley IA,43.2035792,-96.3318238,V ,,,2015,3345,1,51247
474,Rolfe,IA,Rolfe IA,42.8128626,-94.5488244,D,,3,2012,584,1,50581
475,Sac City,IA,Sac City IA,42.4218672,-95.0327653,F,,3,,2368,1,50583
476,Sergeant Bluff,IA,Sergeant Bluff IA,42.3983217,-96.372959,R ,,2.15,,4326,1,51054
477,Sioux Center,IA,Sioux Center IA,43.0765131,-96.2091883,T,,2,2007,6327,1,51250
478,Sioux City,IA,Sioux City IA,42.4737756,-96.5408301,F ,,3.5,1990,85013,1,51101
479,Slater,IA,Slater IA,41.8783716,-93.7034181,D,,3,,1306,1,50244
480,Solon,IA,Solon IA,41.8053711,-91.5163296,F,,0.5,,2173,1,52333
481,State Center,IA,State Center IA,42.0148167,-93.182807,T,,5.08,,1349,1,50247
482,Storm Lake,IA,Storm Lake IA,42.6444186,-95.2701184,E,2750,4,,10076,1,50588
483,Urbandale,IA,Urbandale IA,41.643682,-93.9249662,E,3200,6,2010,40311,1,50322
484,Victor,IA,Victor IA,41.7306961,-92.3043482,V ,,,,952,1,52347
485,Waterloo,IA,Waterloo IA,42.4962397,-92.4830821,F,,2.75,2009,68406,1,50701
486,Waukee,IA,Waukee IA,41.5986522,-93.9351634,E,2973,4.25,2006,5126,1,50263
487,Wellman,IA,Wellman IA,41.4707307,-91.8487411,F,,4.75,2012,1408,1,52356
488,West Branch,IA,West Branch IA,41.6667496,-91.3834688,E,3500,2.25,,2326,1,52358
489,West Des Moines,IA,West Des Moines IA,41.5489442,-93.8431505,E,4000,4.25,,46403,1,50265
490,Windsor Heights,IA,Windsor Heights IA,41.6033092,-93.732676,D,,5.5,,4805,0.8,50311
491,Woodward,IA,Woodward IA,41.8492681,-93.9304918,F,,3,,1200,1,50276
492,Wyoming,IA,Wyoming IA,42.0597492,-91.0138072,F,,1,,515,1,52362
493,Coeur D'Alene,ID,Coeur D'Alene ID,47.7014528,-116.8270938,E,3000,4,2004,34514,1,83814
494,Lewiston,ID,Lewiston ID,46.3990481,-117.0484214,-,,,2008,31794,1,83501
495,Moscow,ID,Moscow ID,46.7349251,-117.0183925,,,,2021,25319,1,83843
496,Nampa,ID,Nampa ID,43.585977,-116.7029755,-,,,2010,51867,1,83651
497,Pocatello,ID,Pocatello ID,42.8687025,-112.5660481,-,,,,51466,1,83201
498,Arlington Heights,IL,Arlington Heights IL,42.0861975,-88.0535615,T,,6.25,,75525,1,60004
499,Aurora,IL,Aurora IL,41.7510792,-88.3767585,F,,10.46,1998,170617,1,60504
500,Bloomington,IL,Bloomington IL,40.4738044,-89.1119448,T,,,2004,70970,1,61701
501,Buffalo Grove,IL,Buffalo Grove IL,42.1697661,-88.0223626,A,,5.08,2016,,1,60089
502,Champaign,IL,Champaign IL,40.1146914,-88.3121289,T,,5.24,2012,81055,1,61820
503,Decatur,IL,Decatur IL,39.8557892,-89.0581675,E,4500,3.67,2014,75407,1,62521
504,Downer's Grove,IL,Downer's Grove IL,41.7911647,-88.0553293,E,3300,13.48,2012,48163,1,60515
505,East Moline,IL,East Moline IL,41.5142587,-90.5095064,T,,2.61,2009,20333,1,61244
506,Eureka,IL,Eureka IL,40.7160377,-89.3170642,E,3250,6,2015,5295,1,61530
507,Freeport,IL,Freeport IL,42.2849302,-89.7052879,T,,,,25638,1,61032
508,Highland Park,IL,Highland Park IL,42.1878203,-87.8407448,E,2765,8,,31614,1,60035
509,Hoffman Estates,IL,Hoffman Estates IL,42.0722844,-88.1865798,E,3300,2,2013,51895,1,60179
510,Matteson,IL,Matteson IL,41.5105628,-87.8106859,D,,7,2013,19147,1,60443
511,Moline,IL,Moline IL,41.4699122,-90.556011,T,,11.24,2000,42916,1,61265
512,Morton,IL,Morton IL,40.6092503,-89.5042092,E,3300,4.88,2005,15757,1,61550
513,Normal,IL,Normal IL,40.5269138,-89.0571695,E,3200,4.6,2006,45386,1,61761
514,Northbrook,IL,Northbrook IL,42.1256245,-87.8536771,W,,1,,33170,1,60062
515,Palatine,IL,Palatine IL,42.0158236,-87.8780333,F,,6.13,2012,,1,60038
516,Park Ridge,IL,Park Ridge IL,42.0158236,-87.8780333,E,2800,2.75,2016,37480,1,60068
517,Peoria,IL,Peoria IL,40.7480158,-89.6924275,E,2600,7.8,2017,114265,1,61601
518,Rantoul,IL,Rantoul IL,40.3008923,-88.2348455,F,,3.43,2001,12857,1,61866
519,Richton Park,IL,Richton Park IL,41.4807922,-87.8164819,D,,5.97,,12533,1,60471
520,Rock Island,IL,Rock Island IL,41.4651113,-90.6625151,T,,4.03,2002,39020,1,61201
521,Rolling Meadows,IL,Rolling Meadows IL,42.0751747,-88.0657041,E,3604,4.76,2001,23682,1,60008
522,Tinley Park,IL,Tinley Park IL,41.5641123,-87.8778914,W,,3.72,1983,56703,1,60477
523,Urbana,IL,Urbana IL,40.1153129,-88.2630859,E,3100,4.94,2012,41250,1,61801
524,Wheeling,IL,Wheeling IL,42.0772071,-87.7990499,E,3000,2,2015,37648,1,60090
525,Wilmette,IL,Wilmette IL,42.1084126,-87.7758557,E,3590,12,2019,27418,1,60091
526,Winetka,IL,Winetka IL,42.1084126,-87.7758557,E,3400,21.83,2014,12370,1,60093
527,Albany,IN,Albany IN,40.3085332,-85.2693318,F,,10.64,,2368,1,47320
528,Anderson,IN,Anderson IN,40.0946628,-85.745305,E,2500,3.5,2002,59734,1,46011
529,Angola,IN,Angola IN,41.6481696,-85.0388084,F,,2.08,,7344,1,46703
530,Attica,IN,Attica IN,40.2876436,-87.2612436,F,,3,2014,3147,1,47918
531,Avon,IN,Avon IN,39.7597237,-86.4214393,E,,6,2017,16960,1,46123
532,Bargersville,IN,Bargersville IN,39.5417485,-86.2648058,E,2350,9.46,2005,2120,1,46106
533,Batesville,IN,Batesville IN,39.2977462,-85.2528598,T,,2,2005,6033,1,47006
534,Battle Ground,IN,Battle Ground IN,40.5050097,-86.8873028,,,8,2017,1946,1,47920
535,Beech Grove,IN,Beech Grove IN,39.7139772,-86.1177103,E ,2620,,2006,14192,1,46107
536,Berne,IN,Berne IN,40.6577442,-84.9912208,T,,24,,4114,1,46711
537,Bloomington,IN,Bloomington IN,39.171192,-86.6018856,R,,5.95,1998,69291,1,47401
538,Brazil,IN,Brazil IN,39.5203692,-87.1583082,E,3800,5,2021,8380,1,47834
539,Brownsburg,IN,Brownsburg IN,39.9632426,-86.2724664,E,2900,5,2006,14520,1,46112
540,Carmel,IN,Carmel IN,39.9632426,-86.2724664,E ,4150,5.57,2013,85927,1,46032
541,Cedar Lake,IN,Cedar Lake IN,41.3672372,-87.50826,E,2903,5,2006,9279,1,46303
542,Centerville,IN,Centerville IN,39.8195112,-85.0094931,E,3536,8.5,2004,2624,1,47330
543,Chandler,IN,Chandler IN,38.0370544,-87.4115359,F,,4,2004,3500,1,47610
544,Chesterton,IN,Chesterton IN,41.5976381,-87.1417124,D,,6.83,,11139,1,46304
545,Cicero,IN,Cicero IN,40.1242002,-86.0402876,V ,,,,4303,1,46034
546,Clark County,IN,Clark County IN,38.3269558,-85.8058343,F ,,3.33,2014,,1,
547,Clarksville,IN,Clarksville IN,38.3269558,-85.8058343,E,2527,2.95,2004,21400,1,47129
548,Connersville,IN,Connersville IN,39.6700187,-85.1790903,E,2662,5.15,,15411,1,47331
549,Crawfordsville,IN,Crawfordsville IN,40.0479213,-86.9276123,D ,,6,,15243,1,47933
550,Crothersville,IN,Crothersville IN,38.7957207,-85.8560505,F ,,3,2016,1591,1,47229
551,Crown Point,IN,Crown Point IN,41.4114563,-87.4170286,D,,6,,19806,1,46307
552,Cumberland,IN,Cumberland IN,39.7899113,-85.9868598,F,,5.2,2007,5500,0.5,
553,Danville,IN,Danville IN,39.7581465,-86.574959,E,3700,,,6418,1,46122
554,Decatur,IN,Decatur IN,40.8266827,-84.9438229,E,,,,9561,1,46733
555,Delaware County,IN,Delaware County IN,40.2281206,-85.5367354,T,,0.95,,48682,1,
